Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,stratification,0.95,80,1.43,8.926667,0.0,0.270055,0.891928,0.055941,0.948421,0.9,0.946,0.923893
Unlu_CS=T,stratification,0.95,80,1.43,55.966667,0.0,0.382534,0.531295,0.169733,1.0,0.46,0.973,0.678233
mixed_CS=T,stratification,0.95,30,1.505,7.183333,0.0,0.100523,0.840689,0.050373,0.969474,0.74,0.958,0.847001
Unlu_CS=T,stratification,0.95,30,1.505,19.39,0.0,0.305289,0.756006,0.204491,0.994737,0.16,0.953,0.398946
mixed_CS=T,stratification,0.95,50,1.505,7.033333,0.0,0.044353,0.697355,0.044754,0.953684,0.62,0.937,0.76895
Unlu_CS=T,stratification,0.95,50,1.505,33.18,0.0,0.180744,0.586006,0.097036,0.998947,0.6,0.979,0.774189
mixed_CS=T,stratification,0.95,80,1.505,7.56,0.0,0.394408,0.925537,0.010451,0.983158,1.0,0.984,0.991543
Unlu_CS=T,stratification,0.95,80,1.505,40.753333,0.0,0.567713,0.66865,0.198679,1.0,0.56,0.978,0.748331
mixed_CS=T,stratification,0.95,30,1.58,3.796667,0.0,0.502369,0.903774,0.033563,0.990526,0.68,0.975,0.820706
Unlu_CS=T,stratification,0.95,30,1.58,12.806667,0.0,0.194904,0.745675,0.158559,0.998947,0.26,0.962,0.509633
mixed_CS=T,stratification,0.95,50,1.58,4.66,0.0,0.173085,0.787603,0.028389,0.993684,0.66,0.977,0.809834
Unlu_CS=T,stratification,0.95,50,1.58,47.826667,0.0,0.248981,0.535895,0.160544,1.0,0.46,0.973,0.678233
mixed_CS=T,stratification,0.95,80,1.58,6.643333,0.0,0.737355,0.938981,0.016085,0.993684,0.9,0.989,0.945683
Unlu_CS=T,stratification,0.95,80,1.58,41.876667,0.0,0.350771,0.651791,0.209447,1.0,0.46,0.973,0.678233
mixed_CS=T,stratification,0.95,30,1.655,13.246667,0.0,0.094986,0.693747,0.026705,0.998947,0.58,0.978,0.761176
Unlu_CS=T,stratification,0.95,30,1.655,17.59,0.0,0.170882,0.739284,0.130079,0.998947,0.52,0.975,0.720731
mixed_CS=T,stratification,0.95,50,1.655,12.25,0.0,0.670716,0.898485,0.013191,0.996842,0.96,0.995,0.978248
Unlu_CS=T,stratification,0.95,50,1.655,29.273333,0.0,0.648072,0.756915,0.165198,1.0,0.46,0.973,0.678233
mixed_CS=T,stratification,0.95,80,1.655,3.693333,0.0,0.677934,0.973499,0.008452,0.993684,1.0,0.994,0.996837
Unlu_CS=T,stratification,0.95,80,1.655,20.076667,0.0,0.604821,0.837383,0.098076,1.0,0.76,0.988,0.87178
mixed_CS=T,stratification,0.95,30,1.73,9.12,0.0,0.267741,0.855041,0.019562,0.998947,0.7,0.984,0.83622
Unlu_CS=T,stratification,0.95,30,1.73,20.696667,0.0,0.498512,0.799614,0.100037,0.997895,0.52,0.974,0.720351
mixed_CS=T,stratification,0.95,50,1.73,7.08,0.0,0.680964,0.930937,0.021296,0.984211,0.96,0.983,0.97203
Unlu_CS=T,stratification,0.95,50,1.73,23.646667,0.0,0.576694,0.790496,0.145703,1.0,0.58,0.979,0.761577
mixed_CS=T,stratification,0.95,80,1.73,13.86,0.0,0.083609,0.771405,0.023642,0.990526,0.86,0.984,0.922959
Unlu_CS=T,stratification,0.95,80,1.73,54.303333,0.0,0.440937,0.553388,0.131737,1.0,0.52,0.976,0.72111
mixed_CS=T,stratification,0.95,30,1.805,1.263333,0.0,0.515565,0.937989,0.033287,0.968421,0.86,0.963,0.912602
Unlu_CS=T,stratification,0.95,30,1.805,13.146667,0.0,0.714545,0.891983,0.163045,1.0,0.48,0.974,0.69282
mixed_CS=T,stratification,0.95,50,1.805,6.226667,0.0,0.321433,0.912782,0.015169,0.989474,0.92,0.986,0.954105
Unlu_CS=T,stratification,0.95,50,1.805,30.946667,0.0,0.583223,0.739972,0.134713,1.0,0.52,0.976,0.72111
mixed_CS=T,stratification,0.95,80,1.805,3.203333,0.0,0.900937,0.980275,0.021663,1.0,0.86,0.993,0.927362
Unlu_CS=T,stratification,0.95,80,1.805,29.623333,0.0,0.455592,0.756061,0.147454,1.0,0.64,0.982,0.8
mixed_CS=T,stratification,0.9,30,0.005,3.25,0.0,0.020386,0.377824,0.161349,0.647778,0.34,0.617,0.469302
Unlu_CS=T,stratification,0.9,30,0.005,6.566667,0.0,0.081956,0.441212,0.68595,0.574444,0.43,0.56,0.497002
mixed_CS=T,stratification,0.9,50,0.005,9.103333,0.0,0.044353,0.302011,0.17232,0.706667,0.29,0.665,0.452696
Unlu_CS=T,stratification,0.9,50,0.005,11.1,0.0,0.057989,0.303664,0.673784,0.684444,0.29,0.645,0.445521
mixed_CS=T,stratification,0.9,80,0.005,2.393333,0.0,0.01697,0.423609,0.170893,0.578889,0.48,0.569,0.527131
Unlu_CS=T,stratification,0.9,80,0.005,5.89,0.0,0.052893,0.437713,0.690205,0.544444,0.47,0.537,0.505855
mixed_CS=T,stratification,0.9,30,0.08,2.923333,0.0,0.055702,0.573361,0.175819,0.433333,0.63,0.453,0.522494
Unlu_CS=T,stratification,0.9,30,0.08,4.546667,0.0,0.079587,0.556061,0.688126,0.427778,0.6,0.445,0.506623
mixed_CS=T,stratification,0.9,50,0.08,5.783333,0.0,0.052727,0.417741,0.170216,0.563333,0.44,0.551,0.497862
Unlu_CS=T,stratification,0.9,50,0.08,6.456667,0.0,0.064821,0.424215,0.679274,0.581111,0.43,0.566,0.499878
mixed_CS=T,stratification,0.9,80,0.08,3.18,0.0,0.029504,0.460937,0.16981,0.546667,0.45,0.537,0.495984
Unlu_CS=T,stratification,0.9,80,0.08,6.14,0.0,0.046061,0.383829,0.670309,0.633333,0.36,0.606,0.477493
mixed_CS=T,stratification,0.9,30,0.155,3.563333,0.0,0.027934,0.44,0.175217,0.547778,0.47,0.54,0.507401
Unlu_CS=T,stratification,0.9,30,0.155,4.723333,0.0,0.04573,0.41595,0.672307,0.562222,0.36,0.542,0.449889
mixed_CS=T,stratification,0.9,50,0.155,5.103333,0.0,0.039394,0.41157,0.169273,0.616667,0.36,0.591,0.471169
Unlu_CS=T,stratification,0.9,50,0.155,7.21,0.0,0.053251,0.356694,0.664901,0.633333,0.4,0.61,0.503322
mixed_CS=T,stratification,0.9,80,0.155,4.646667,0.0,0.034628,0.432369,0.178568,0.537778,0.39,0.523,0.457967
Unlu_CS=T,stratification,0.9,80,0.155,7.81,0.0,0.068512,0.370523,0.664142,0.637778,0.47,0.621,0.547499
mixed_CS=T,stratification,0.9,30,0.23,3.556667,0.0,0.020165,0.389669,0.172165,0.625556,0.4,0.603,0.500222
Unlu_CS=T,stratification,0.9,30,0.23,6.303333,0.0,0.066253,0.450799,0.67436,0.568889,0.37,0.549,0.458791
mixed_CS=T,stratification,0.9,50,0.23,3.853333,0.0,0.026171,0.411736,0.175154,0.571111,0.38,0.552,0.465856
Unlu_CS=T,stratification,0.9,50,0.23,11.283333,0.0,0.046474,0.254986,0.5771,0.758889,0.24,0.707,0.426771
mixed_CS=T,stratification,0.9,80,0.23,4.516667,0.0,0.033306,0.452479,0.172957,0.483333,0.5,0.485,0.491596
Unlu_CS=T,stratification,0.9,80,0.23,6.716667,0.0,0.034683,0.291736,0.626192,0.69,0.33,0.654,0.477179
mixed_CS=T,stratification,0.9,30,0.305,7.52,0.0,0.037163,0.327631,0.155867,0.674444,0.29,0.636,0.442254
