Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,uptrend,0.95,80,0.755,49.296667,0.0,0.594766,0.600771,0.329371,1.0,0.46,0.973,0.678233
mixed_CS=T,uptrend,0.95,30,0.83,5.416667,0.0,0.963499,0.963499,8e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,30,0.83,21.183333,0.0,0.799642,0.832837,0.513171,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,50,0.83,6.763333,0.0,0.952369,0.952369,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,0.83,33.89,0.0,0.725702,0.728154,0.519199,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,80,0.83,8.69,0.0,0.936446,0.936446,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,0.83,65.7,0.0,0.465289,0.465289,0.530597,1.0,0.2,0.96,0.447214
mixed_CS=T,uptrend,0.95,30,0.905,5.54,0.0,0.962479,0.962479,7e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,30,0.905,16.29,0.0,0.826777,0.87314,0.286797,1.0,0.58,0.979,0.761577
mixed_CS=T,uptrend,0.95,50,0.905,8.11,0.0,0.94124,0.94124,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,0.905,25.736667,0.0,0.795565,0.795565,0.265388,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,80,0.905,6.23,0.0,0.956777,0.956777,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,0.905,39.863333,0.0,0.678815,0.678815,0.241941,1.0,0.6,0.98,0.774597
mixed_CS=T,uptrend,0.95,30,0.98,5.233333,0.0,0.965014,0.965014,0.002197,1.0,0.98,0.999,0.98995
Unlu_CS=T,uptrend,0.95,30,0.98,17.253333,0.0,0.859917,0.86562,0.346608,1.0,0.58,0.979,0.761577
mixed_CS=T,uptrend,0.95,50,0.98,7.116667,0.0,0.949449,0.949449,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,0.98,34.823333,0.0,0.720468,0.720468,0.430853,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,80,0.98,7.763333,0.0,0.944105,0.944105,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,80,0.98,51.58,0.0,0.581983,0.581983,0.319564,1.0,0.4,0.97,0.632456
mixed_CS=T,uptrend,0.95,30,1.055,5.053333,0.0,0.963251,0.966474,2e-06,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,30,1.055,18.72,0.0,0.842094,0.853416,0.397422,1.0,0.48,0.974,0.69282
mixed_CS=T,uptrend,0.95,50,1.055,7.173333,0.0,0.948981,0.948981,0.0,1.0,1.0,1.0,1.0
Unlu_CS=T,uptrend,0.95,50,1.055,32.28,0.0,0.736501,0.741433,0.445036,1.0,0.42,0.971,0.648074
