Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
Unlu_CS=T,cyclic,0.950000,80,0.980000,42.782609,0.003333,0.223664,0.599862,0.086261,0.997895,0.480000,0.972000,0.692091
mixed_CS=T,cyclic,0.950000,30,1.055000,11.123333,0.000000,0.469945,0.857796,0.102299,0.905263,0.660000,0.893000,0.772964
Unlu_CS=T,cyclic,0.950000,30,1.055000,19.863333,0.000000,0.038320,0.556033,0.160030,0.990526,0.300000,0.956000,0.545122
mixed_CS=T,cyclic,0.950000,50,1.055000,10.230000,0.000000,0.221708,0.860964,0.064012,0.931579,0.880000,0.929000,0.905422
Unlu_CS=T,cyclic,0.950000,50,1.055000,28.046667,0.000000,0.385482,0.707521,0.122826,0.995789,0.480000,0.970000,0.691360
mixed_CS=T,cyclic,0.950000,80,1.055000,13.640000,0.000000,0.013444,0.333168,0.019492,0.977895,0.960000,0.977000,0.968906
Unlu_CS=T,cyclic,0.950000,80,1.055000,43.493333,0.000000,0.125234,0.574160,0.133577,0.996842,0.480000,0.971000,0.691725
mixed_CS=T,cyclic,0.950000,30,1.130000,9.070000,0.000000,0.345537,0.869504,0.079110,0.907368,0.740000,0.899000,0.819422
Unlu_CS=T,cyclic,0.950000,30,1.130000,21.480000,0.000000,0.180303,0.652231,0.134408,0.992632,0.320000,0.959000,0.563597
mixed_CS=T,cyclic,0.950000,50,1.130000,11.863333,0.000000,0.301377,0.864821,0.045747,0.965263,0.840000,0.959000,0.900456
Unlu_CS=T,cyclic,0.950000,50,1.130000,28.796667,0.000000,0.274821,0.690358,0.106902,0.997895,0.400000,0.968000,0.631789
mixed_CS=T,cyclic,0.950000,80,1.130000,13.946667,0.000000,0.015372,0.385950,0.017620,0.982105,0.860000,0.976000,0.919027
Unlu_CS=T,cyclic,0.950000,80,1.130000,44.889632,0.003333,0.247135,0.597190,0.112720,1.000000,0.520000,0.976000,0.721110
mixed_CS=T,cyclic,0.950000,30,1.205000,8.396667,0.000000,0.360551,0.876391,0.080512,0.914737,0.800000,0.909000,0.855447
Unlu_CS=T,cyclic,0.950000,30,1.205000,20.436667,0.000000,0.275620,0.694518,0.139916,0.989474,0.360000,0.958000,0.596834
mixed_CS=T,cyclic,0.950000,50,1.205000,8.946667,0.000000,0.145868,0.881350,0.044043,0.944211,0.880000,0.941000,0.911540
Unlu_CS=T,cyclic,0.950000,50,1.205000,29.483333,0.000000,0.298898,0.717052,0.159179,0.993684,0.480000,0.968000,0.690629
mixed_CS=T,cyclic,0.950000,80,1.205000,10.950000,0.000000,0.019146,0.479394,0.018606,0.968421,0.960000,0.968000,0.964201
Unlu_CS=T,cyclic,0.950000,80,1.205000,40.790000,0.000000,0.377658,0.647576,0.093169,1.000000,0.640000,0.982000,0.800000
mixed_CS=T,cyclic,0.950000,30,1.280000,9.136667,0.000000,0.554298,0.896887,0.075558,0.955789,0.820000,0.949000,0.885295
Unlu_CS=T,cyclic,0.950000,30,1.280000,18.546667,0.000000,0.129118,0.720826,0.139308,0.995789,0.380000,0.965000,0.615142
mixed_CS=T,cyclic,0.950000,50,1.280000,11.466667,0.000000,0.529449,0.892369,0.025198,0.976842,0.900000,0.973000,0.937634
Unlu_CS=T,cyclic,0.950000,50,1.280000,26.543333,0.000000,0.440496,0.747410,0.098486,1.000000,0.520000,0.976000,0.721110
mixed_CS=T,cyclic,0.950000,80,1.280000,13.170000,0.000000,0.016556,0.439091,0.006679,0.992632,1.000000,0.993000,0.996309
Unlu_CS=T,cyclic,0.950000,80,1.280000,37.996667,0.000000,0.374986,0.673140,0.088882,1.000000,0.600000,0.980000,0.774597
mixed_CS=T,cyclic,0.950000,30,1.355000,8.746667,0.000000,0.452011,0.916006,0.058324,0.957895,0.840000,0.952000,0.897013
Unlu_CS=T,cyclic,0.950000,30,1.355000,18.593333,0.000000,0.227328,0.750028,0.138798,0.994737,0.420000,0.966000,0.646366
mixed_CS=T,cyclic,0.950000,50,1.355000,9.450000,0.000000,0.359890,0.905592,0.040382,0.943158,0.900000,0.941000,0.921326
Unlu_CS=T,cyclic,0.950000,50,1.355000,25.500000,0.000000,0.386446,0.761708,0.099869,0.994737,0.620000,0.976000,0.785326
mixed_CS=T,cyclic,0.950000,80,1.355000,15.823333,0.000000,0.015978,0.412176,0.004341,0.997895,0.960000,0.996000,0.978764
Unlu_CS=T,cyclic,0.950000,80,1.355000,43.300000,0.000000,0.313747,0.622011,0.096744,1.000000,0.560000,0.978000,0.748331
mixed_CS=T,cyclic,0.950000,30,1.430000,8.293333,0.000000,0.392562,0.894628,0.039485,0.971579,0.820000,0.964000,0.892578
Unlu_CS=T,cyclic,0.950000,30,1.430000,18.216667,0.000000,0.390193,0.798595,0.133103,0.995789,0.460000,0.969000,0.676804
mixed_CS=T,cyclic,0.950000,50,1.430000,9.303333,0.000000,0.481295,0.910799,0.037694,0.953684,0.960000,0.954000,0.956837
Unlu_CS=T,cyclic,0.950000,50,1.430000,23.946667,0.000000,0.590964,0.800909,0.092617,1.000000,0.720000,0.986000,0.848528
mixed_CS=T,cyclic,0.950000,80,1.430000,11.313333,0.000000,0.019614,0.467658,0.012453,0.976842,0.960000,0.976000,0.968384
Unlu_CS=T,cyclic,0.950000,80,1.430000,44.373333,0.000000,0.445207,0.631983,0.098450,1.000000,0.560000,0.978000,0.748331
mixed_CS=T,cyclic,0.950000,30,1.505000,8.056667,0.000000,0.627052,0.930689,0.055366,0.967368,0.880000,0.963000,0.922651
Unlu_CS=T,cyclic,0.950000,30,1.505000,18.813333,0.000000,0.134904,0.752424,0.156387,0.997895,0.380000,0.967000,0.615792
mixed_CS=T,cyclic,0.950000,50,1.505000,12.026667,0.000000,0.395289,0.881185,0.011418,0.991579,0.920000,0.988000,0.955119
Unlu_CS=T,cyclic,0.950000,50,1.505000,25.840000,0.000000,0.538815,0.781185,0.115582,1.000000,0.620000,0.981000,0.787401
mixed_CS=T,cyclic,0.950000,80,1.505000,12.173333,0.000000,0.021625,0.441983,0.008402,0.989474,0.980000,0.989000,0.984725
